单词      复数    现在时            过去时
take	 ""	 "taking"	 "took"

control	 "controls"	 "controlling"	 "controlled"

of	 ""	 ""	 ""

your	 ""	 ""	 ""

own	 "owns"	 "owning"	 "owned"

mysql	 ""	 ""	 ""

features	 ""	 ""	 ""

this	 "these"	 ""	 ""

manual	 "manuals"	 ""	 ""

describes	 ""	 ""	 ""

that	 "those"	 ""	 ""

are	 ""	 "being"	 "were"

not	 ""	 ""	 ""

included	 ""	 ""	 ""

in	 "ins"	 ""	 ""

every	 ""	 ""	 ""

edition	 "editions"	 ""	 ""

such	 ""	 ""	 ""

may	 ""	 "maying"	 "might"

be	 ""	 "being"	 "was"

the	 ""	 ""	 ""

licensed	 ""	 ""	 ""

to	 ""	 ""	 ""

you	 "yous"	 ""	 ""

if	 "ifs"	 ""	 ""

have	 ""	 "having"	 "had"

any	 ""	 ""	 ""

questions	 ""	 ""	 ""

about	 ""	 ""	 ""

refer	 ""	 "referring"	 "referred"

license	 "licenses"	 "licensing"	 "licensed"

agreement	 "agreements"	 ""	 ""

or	 ""	 ""	 ""

contact	 ""	 "contacting"	 "contacted"

oracle	 "oracles"	 ""	 ""

sales	 ""	 ""	 ""

representative	 "representatives"	 ""	 ""

for	 ""	 ""	 ""

notes	 ""	 ""	 ""

detailing	 ""	 ""	 ""

changes	 ""	 ""	 ""

each	 ""	 ""	 ""

release	 ""	 "releasing"	 "released"

see	 ""	 "seeing"	 "saw"

legal	 ""	 ""	 ""

information	 ""	 ""	 ""

help	 ""	 "helping"	 "helped"

with	 ""	 ""	 ""

using	 ""	 ""	 ""

please	 ""	 "pleasing"	 "pleased"

visit	 ""	 "visiting"	 "visited"

either	 ""	 ""	 ""

forums	 ""	 ""	 ""

mailing	 "mailings"	 ""	 ""

lists	 ""	 ""	 ""

where	 "wheres"	 ""	 ""

can	 "cans"	 "canning"	 "could"

discuss	 ""	 "discussing"	 "discussed"

issues	 ""	 ""	 ""

other	 "others"	 ""	 ""

additional	 ""	 ""	 ""

documentation	 ""	 ""	 ""

on	 ""	 ""	 ""

products	 ""	 ""	 ""

including	 ""	 ""	 ""

translations	 ""	 ""	 ""

into	 ""	 ""	 ""

languages	 ""	 ""	 ""

and	 ""	 ""	 ""

downloadable	 ""	 ""	 ""

versions	 ""	 ""	 ""

variety	 "varieties"	 ""	 ""

formats	 ""	 ""	 ""

HTML	 ""	 ""	 ""

pdf	 ""	 ""	 ""

product	 "products"	 ""	 ""

include	 ""	 "including"	 "included"

third-party	 ""	 ""	 ""

software	 ""	 ""	 ""

used	 ""	 ""	 ""

under	 ""	 ""	 ""

a	 ""	 ""	 ""

commercial	 "commercials"	 ""	 ""

document	 "documents"	 "documenting"	 "documented"

licensing	 ""	 ""	 ""

relating	 ""	 ""	 ""

community	 "communities"	 ""	 ""

cluster	 "clusters"	 "clustering"	 "clustered"

ndb	 ""	 ""	 ""

generated	 ""	 ""	 ""

revision	 "revisions"	 ""	 ""

old	 ""	 ""	 ""

man	 "men"	 "manning"	 "manned"

sea	 "seas"	 ""	 ""

charlie	 ""	 ""	 ""

Scribner	 ""	 ""	 ""

max	 ""	 ""	 ""

Perkins	 ""	 ""	 ""

he	 ""	 ""	 ""

was	 ""	 ""	 ""

an	 ""	 ""	 ""

who	 ""	 ""	 ""

fished	 ""	 ""	 ""

alone	 ""	 ""	 ""

skiff	 "skiffs"	 ""	 ""

gulf	 "gulfs"	 ""	 ""

stream	 "streams"	 "streaming"	 "streamed"

had	 ""	 ""	 ""

gone	 ""	 ""	 ""

days	 ""	 ""	 ""

now	 ""	 ""	 ""

without	 ""	 ""	 ""

taking	 ""	 ""	 ""

fish	 "fishes"	 ""	 ""

first	 "firsts"	 ""	 ""

forty	 "forties"	 ""	 ""

boy	 "boys"	 ""	 ""

been	 ""	 ""	 ""

him	 ""	 ""	 ""

but	 "buts"	 ""	 ""

after	 ""	 ""	 ""

parents	 ""	 ""	 ""

told	 null	 null	 null

definitely	 ""	 ""	 ""

finally	 ""	 ""	 ""

which	 ""	 ""	 ""

is	 ""	 ""	 "was"

worst	 ""	 "worsting"	 "worsted"

form	 "forms"	 "forming"	 "formed"

unlucky	 ""	 ""	 ""

at	 ""	 ""	 ""

their	 ""	 ""	 ""

orders	 ""	 ""	 ""

another	 ""	 ""	 ""

boat	 "boats"	 null	 null

caught	 null	 null	 null

three	 "threes"	 ""	 ""

good	 "goods"	 ""	 ""

week	 "weeks"	 ""	 ""

it	 ""	 ""	 ""

made	 ""	 ""	 ""

sad	 ""	 ""	 ""

come	 ""	 "coming"	 "came"

day	 "days"	 ""	 ""

his	 ""	 ""	 ""

empty	 "empties"	 "emptying"	 "emptied"

always	 ""	 ""	 ""

